winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_towerKills,t1_inhibitorKills,t1_baronKills,t1_dragonKills,t1_riftHeraldKills,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5
1,2,1,1,1,2,0,7,1,1,1,0,122,31,33,516,75,2,0,0,2,0,31,81,266,64,157
1,1,1,0,0,1,0,4,0,0,2,0,57,1,114,143,67,0,0,0,0,0,11,24,75,245,202
2,1,1,2,1,1,0,5,0,1,3,0,420,64,67,11,61,9,1,1,2,0,238,131,80,53,24
1,2,1,1,1,1,0,7,1,1,1,0,31,16,122,141,117,1,0,0,0,0,119,-1,40,18,33
2,1,2,2,2,2,2,2,0,0,0,0,63,38,238,40,119,11,3,1,3,1,119,19,117,90,134
1,1,1,1,0,1,1,11,3,0,4,1,119,11,31,238,122,1,0,0,0,0,154,105,31,238,117
1,1,1,1,1,2,0,11,4,1,1,0,236,19,238,64,141,3,0,0,2,0,5,55,33,236,29
2,2,2,2,2,1,0,3,0,0,2,0,202,5,516,141,11,9,1,1,1,0,40,18,19,117,5
2,2,1,2,2,1,1,3,0,0,2,1,79,33,238,40,31,11,3,1,1,0,29,78,91,516,40
1,2,2,1,1,1,2,5,2,2,4,0,119,51,105,114,164,3,0,0,0,1,99,122,238,29,53
1,1,1,1,1,2,0,9,1,1,2,0,80,122,18,22,82,0,0,0,2,0,113,238,18,40,19
1,1,1,1,0,1,1,10,2,0,3,1,412,115,54,51,119,0,0,0,0,0,141,119,238,53,80
2,1,2,2,0,2,2,0,0,0,0,0,31,105,18,59,141,9,3,0,2,1,40,63,6,31,157
2,1,2,2,2,2,0,0,0,0,0,0,141,122,90,105,25,11,4,1,3,0,67,74,238,516,157
1,1,1,1,2,2,0,10,2,0,1,0,114,57,238,31,6,5,0,1,1,0,141,157,57,8,29
1,1,1,2,1,1,0,8,1,1,3,0,18,8,105,29,122,6,1,0,0,0,53,55,119,105,122
1,1,1,1,1,2,1,10,2,1,1,1,105,157,267,114,154,0,0,0,2,0,114,11,96,69,154
2,2,2,2,2,2,0,3,0,0,1,0,28,11,53,67,9,8,1,1,1,0,25,31,122,516,29
1,1,1,1,1,1,2,10,3,2,4,0,157,114,55,35,141,5,0,0,0,1,40,105,119,107,238
2,1,1,2,2,2,1,4,0,0,0,1,18,122,121,55,157,10,3,2,4,0,516,31,497,83,119
1,2,2,0,1,2,0,3,0,1,1,0,10,53,141,134,114,5,0,0,1,0,498,122,141,53,157
2,1,2,2,0,2,0,1,0,0,0,0,157,89,18,61,23,8,2,0,2,0,5,53,89,157,31
2,1,1,2,2,2,0,7,0,0,1,0,412,92,30,53,25,7,1,1,2,0,21,119,157,67,122
1,2,1,1,1,2,0,11,3,1,2,0,134,516,40,18,117,2,0,0,1,0,141,157,40,516,238
1,1,1,1,0,1,0,7,1,0,2,0,40,38,105,119,24,0,0,0,0,0,113,40,117,16,-1
1,2,1,1,1,1,0,6,1,1,3,0,412,57,75,157,141,3,0,0,0,0,31,119,18,141,38
1,1,1,1,0,1,0,7,1,0,1,0,122,157,51,6,55,0,0,0,0,0,222,-1,31,55,119
1,1,1,1,1,1,0,10,1,1,2,0,238,33,55,201,53,1,0,0,0,0,55,238,29,74,122
2,1,1,2,2,1,1,2,0,0,1,1,59,39,67,75,516,8,1,1,2,0,18,67,31,141,497
1,1,2,1,1,1,1,11,3,2,4,1,29,40,17,31,157,2,0,0,0,0,40,11,45,119,55
2,2,2,0,0,2,0,0,0,0,0,0,29,31,420,119,42,8,0,0,2,0,114,412,141,516,51
1,2,1,1,1,1,0,8,2,1,2,0,141,-1,164,40,31,1,0,0,0,0,28,412,157,40,19
2,2,1,1,1,2,1,7,2,3,2,1,119,117,31,57,38,6,2,0,4,0,40,-1,55,31,16
1,1,0,0,0,0,0,0,0,0,0,0,154,54,105,498,157,0,0,0,0,0,103,122,105,117,29
1,2,1,0,0,0,0,1,0,0,0,0,35,2,119,245,89,0,0,0,0,0,92,157,238,117,427
2,1,2,2,2,2,1,2,0,0,0,1,122,36,29,90,105,9,2,1,2,0,53,238,134,82,32
2,2,2,2,0,2,2,1,0,0,0,0,53,63,154,3,122,8,2,0,2,1,157,113,420,11,19
1,1,1,1,1,1,1,7,1,1,3,1,157,29,40,18,114,4,0,0,1,0,154,238,29,18,122
2,2,1,0,0,2,0,1,0,0,0,0,141,238,8,53,114,3,0,0,1,0,1,238,31,17,7
1,2,1,1,2,2,0,8,3,0,2,0,-1,64,38,29,51,8,1,2,2,0,31,141,98,119,238
2,2,1,2,2,2,0,4,0,0,1,0,89,114,19,222,157,9,1,1,3,0,157,51,122,11,238
1,2,1,1,0,2,1,10,1,0,3,1,245,157,154,59,67,0,0,0,1,0,157,122,113,141,64
1,2,1,1,0,1,0,9,2,0,1,0,266,103,18,11,53,0,0,0,0,0,67,119,31,17,99
2,1,2,0,0,2,0,0,0,0,0,0,238,114,40,121,157,5,0,0,1,0,238,18,40,119,114
2,1,1,2,2,2,0,2,0,0,0,0,53,1,23,122,238,11,3,2,3,0,122,40,134,119,157
1,2,2,1,1,1,1,8,1,1,1,1,51,1,420,-1,122,6,0,0,3,0,105,11,24,29,157
1,1,1,1,1,1,1,11,4,1,1,1,154,61,40,516,122,0,0,0,1,0,67,40,33,516,238
1,2,1,1,1,1,1,11,4,1,3,1,420,154,25,7,122,1,0,0,0,0,11,157,122,105,498
2,2,2,0,0,2,0,0,0,0,0,0,54,23,141,61,24,5,0,0,2,0,51,80,23,157,104
2,2,2,0,0,2,0,2,0,0,0,0,35,121,122,105,31,7,0,0,2,0,157,427,31,238,99
2,1,2,2,0,1,0,1,0,0,2,0,154,105,157,238,119,6,1,0,1,0,114,238,24,119,29
1,2,2,1,1,1,0,8,1,1,2,0,119,40,157,55,154,1,0,0,0,0,38,119,154,114,3
2,1,2,2,1,1,2,5,0,1,2,0,69,63,51,86,134,9,1,1,2,1,18,67,122,11,105
1,1,1,1,0,1,0,9,1,0,1,0,412,113,29,134,67,0,0,0,0,0,31,91,29,412,238
1,2,1,1,1,1,0,10,3,1,2,0,64,266,61,67,119,3,0,0,1,0,19,51,17,157,154
2,1,2,2,2,2,0,2,0,0,0,0,134,57,31,40,18,8,1,1,3,0,238,141,11,497,8
2,1,1,0,2,1,0,2,0,0,2,0,154,141,117,157,238,3,0,1,1,0,141,64,92,114,53
2,1,2,2,2,2,0,3,0,0,0,0,8,117,90,-1,40,11,4,2,5,0,141,157,238,420,412
2,2,2,0,0,0,0,0,0,0,0,0,122,53,51,17,238,3,0,0,0,0,4,157,131,36,18
2,1,1,2,2,2,0,6,0,0,2,0,122,31,141,19,157,10,2,2,2,0,61,29,58,24,92
1,2,1,1,0,1,0,11,2,0,2,0,117,238,40,19,429,0,0,0,0,0,57,92,75,31,96
2,1,1,2,0,2,0,5,0,0,1,0,238,31,114,122,157,7,1,0,2,0,119,114,18,40,113
1,2,2,1,2,2,0,9,4,0,1,0,141,516,18,99,114,6,1,1,3,0,53,157,67,222,103
1,1,0,0,0,0,0,0,0,0,0,0,31,412,6,150,131,0,0,0,0,0,31,157,11,119,150
2,2,2,2,0,2,0,0,0,0,0,0,141,40,41,114,33,10,3,0,2,0,154,75,238,53,516
2,2,2,2,0,1,0,0,0,0,1,0,157,17,105,498,154,10,3,0,2,0,51,53,238,157,122
1,2,2,1,1,1,2,9,2,1,1,0,53,157,25,113,238,4,0,0,2,1,516,150,412,157,114
2,2,2,2,2,2,2,0,0,0,0,0,103,114,67,154,31,9,1,1,3,1,31,57,17,516,3
2,1,2,2,2,2,0,3,0,0,0,0,114,53,245,84,19,11,4,1,3,0,18,63,53,238,11
1,1,1,1,0,1,1,7,1,0,1,1,238,122,18,67,141,1,0,0,0,0,64,238,498,141,67
2,1,2,2,0,2,2,4,0,0,0,0,157,1,131,31,90,9,2,0,4,1,157,53,61,7,105
1,2,1,1,1,1,0,8,1,2,2,0,16,91,58,38,119,4,0,0,2,0,114,122,51,238,67
1,1,2,1,0,1,1,7,1,0,2,1,67,122,134,157,420,3,0,0,0,0,154,122,119,157,268
1,1,1,0,0,1,0,5,0,0,1,0,114,61,154,31,38,1,0,0,0,0,114,31,62,5,238
1,2,2,1,2,1,2,10,2,0,4,0,412,163,40,117,126,4,0,2,1,1,38,96,429,40,29
2,1,1,2,2,1,0,4,0,0,1,0,18,40,99,31,16,11,3,1,2,0,18,55,57,92,238
1,1,1,1,1,1,1,10,2,1,1,1,5,40,238,31,11,0,0,0,0,0,75,11,157,141,40
1,1,2,1,0,1,0,9,1,0,2,0,18,119,238,141,11,2,0,0,0,0,245,75,11,113,122
1,2,1,1,1,1,2,11,4,1,3,0,157,498,90,31,51,1,0,0,0,1,154,29,114,19,51
2,1,1,1,2,2,1,9,2,0,1,1,157,106,25,24,122,8,1,2,3,0,238,245,122,51,40
1,1,1,1,1,1,0,9,2,1,1,0,7,67,31,121,119,3,0,0,1,0,154,31,29,141,412
1,2,2,1,1,2,2,8,1,2,0,0,6,11,136,57,157,4,0,0,4,1,33,119,240,117,134
2,2,2,2,2,2,2,1,0,0,0,0,40,236,31,154,75,10,2,1,5,1,86,40,7,67,238
1,1,1,0,0,0,0,4,0,0,0,0,157,114,102,154,143,0,0,0,0,0,134,64,154,157,3
1,1,2,1,1,2,1,10,2,1,1,1,516,53,157,32,23,3,0,0,2,0,24,1,119,23,12
1,1,2,2,1,1,2,8,1,1,3,0,29,154,16,103,114,9,2,0,1,1,240,119,141,117,105
2,2,2,2,2,1,0,0,0,0,1,0,28,141,31,19,75,11,3,1,1,0,117,7,154,38,51
2,1,1,2,0,2,0,3,0,0,1,0,122,238,92,117,31,8,1,0,2,0,119,122,154,31,89
1,2,1,1,0,1,0,8,1,0,2,0,18,69,61,31,117,1,0,0,0,0,40,57,412,31,117
2,2,1,2,2,2,0,1,0,0,0,0,420,51,23,498,157,10,2,1,2,0,122,114,11,157,105
1,1,1,1,0,1,1,6,1,0,1,1,14,53,86,131,141,0,0,0,0,0,11,238,67,119,420
2,1,2,2,0,1,2,1,0,0,2,0,18,11,31,516,75,8,1,0,2,1,105,23,157,516,31
1,2,1,1,0,0,0,7,1,0,0,0,105,53,122,157,238,1,0,0,0,0,105,64,238,53,21
2,1,2,2,2,2,2,0,0,0,0,0,38,117,18,10,79,9,2,1,2,1,79,113,236,18,40
1,1,1,1,0,1,0,8,1,0,2,0,157,40,19,141,59,0,0,0,0,0,105,53,24,119,29
2,2,2,2,0,2,0,0,0,0,0,0,238,25,498,23,67,11,4,0,1,0,157,222,96,11,53
2,2,2,2,1,2,0,1,0,1,0,0,91,157,18,497,119,10,3,0,4,0,157,64,497,238,31
2,2,1,2,1,2,0,3,0,1,0,0,157,92,238,29,40,10,2,0,4,0,111,238,412,157,92
1,1,2,1,2,1,0,7,1,1,3,0,119,75,11,53,61,7,0,1,2,0,122,53,412,157,84
1,2,1,1,0,1,0,9,2,0,3,0,498,11,238,119,154,2,0,0,0,0,154,117,8,157,115
1,1,2,1,1,1,0,7,1,1,2,0,53,134,80,45,59,3,0,0,1,0,11,40,122,157,38
1,1,1,1,1,1,1,9,3,1,3,1,7,122,11,238,105,2,0,0,0,0,67,122,51,103,19
1,2,2,1,1,2,2,9,2,1,0,0,105,157,238,122,53,7,0,1,4,1,238,154,420,141,64
2,1,2,2,2,2,1,3,0,0,0,1,117,119,7,238,75,10,3,2,3,0,150,7,119,40,6
1,2,2,1,1,2,1,10,2,2,1,1,498,114,18,157,103,4,0,0,3,0,75,157,105,412,103
2,1,2,2,0,2,0,0,0,0,1,0,141,105,67,64,119,9,3,0,1,0,23,58,62,131,16
2,2,2,2,0,1,0,2,0,0,2,0,53,17,29,236,119,9,2,0,1,0,7,75,157,53,141
1,1,2,1,0,2,0,10,3,0,1,0,119,29,238,157,141,3,0,0,3,0,154,141,122,238,498
2,1,1,2,0,1,0,5,0,0,3,0,420,51,85,105,25,7,1,0,0,0,157,141,92,67,119
2,2,2,2,2,2,1,2,0,0,0,1,41,29,420,64,18,7,2,2,4,0,11,141,31,75,143
1,2,2,1,1,2,2,8,2,1,1,0,29,117,238,61,31,6,1,0,2,1,117,57,19,38,40
2,1,1,2,1,2,1,5,0,1,1,1,516,90,55,141,16,9,1,0,3,0,99,31,154,67,157
1,2,1,1,0,1,1,11,4,0,2,1,31,51,18,40,117,1,0,0,0,0,84,154,67,29,141
1,2,2,1,2,2,0,9,3,0,2,0,53,16,91,92,18,5,0,1,2,0,498,238,157,85,29
1,1,1,1,1,1,1,11,3,1,2,1,31,119,154,8,3,0,0,0,0,0,113,122,202,119,238
1,1,1,1,0,1,2,11,3,0,2,0,89,24,84,64,238,0,0,0,0,1,238,51,31,75,119
1,2,1,1,0,1,0,8,1,0,2,0,114,55,51,-1,1,1,0,0,0,0,11,114,29,157,51
2,1,1,2,0,1,0,3,0,0,2,0,134,19,238,18,31,8,1,0,1,0,7,157,516,141,103
1,1,1,1,1,1,1,10,3,1,3,1,236,18,122,31,117,3,0,0,0,0,90,28,113,29,57
2,1,1,2,0,2,0,2,0,0,0,0,57,31,105,90,64,10,3,0,2,0,18,23,29,202,32
2,1,1,1,2,1,1,7,1,0,3,1,11,238,236,421,150,10,2,1,1,0,-1,412,157,-1,29
1,1,1,1,0,1,0,9,3,0,2,0,113,29,497,103,40,0,0,0,0,0,51,498,105,31,19
2,2,1,2,1,2,0,7,0,1,4,0,58,51,157,105,421,7,2,0,1,0,238,122,164,498,117
1,2,2,1,1,2,2,11,2,1,2,0,53,19,141,84,51,4,0,0,1,1,122,67,11,99,81
1,1,1,0,0,1,1,7,0,0,1,1,55,31,29,40,18,2,0,0,1,0,31,117,64,516,40
1,2,2,1,2,2,0,7,1,1,3,0,268,238,122,53,5,3,0,1,1,0,67,80,31,105,51
2,1,2,2,2,2,2,4,0,0,0,0,114,51,24,117,8,9,1,1,2,1,154,119,114,29,84
2,2,2,2,2,2,2,1,0,0,0,0,119,75,105,157,122,10,2,1,3,1,62,5,498,17,19
2,1,2,1,1,2,2,5,1,2,0,0,119,59,412,11,92,11,3,1,4,1,24,157,122,50,53
2,2,2,2,2,2,2,0,0,0,0,0,154,157,67,1,3,10,3,1,4,1,154,112,238,51,105
1,1,1,1,1,1,2,11,4,1,3,0,25,122,11,99,90,6,0,1,1,1,67,17,141,84,11
1,1,2,1,1,2,0,9,2,1,0,0,114,122,99,11,23,4,0,0,2,0,92,7,89,80,119
2,2,2,2,2,2,2,2,0,0,0,0,40,31,238,164,29,9,4,1,3,1,117,16,57,8,114
1,1,1,1,1,1,1,11,4,1,3,1,122,8,75,154,266,0,0,0,0,0,51,64,119,53,154
2,2,1,2,1,1,0,4,0,2,2,0,55,141,29,157,42,7,1,1,2,0,31,29,40,92,150
2,2,2,2,2,2,0,4,0,0,1,0,90,157,141,119,154,8,2,1,4,0,64,154,51,157,38
2,2,2,2,0,2,2,1,0,0,0,0,21,154,64,31,126,6,1,0,1,1,41,119,18,202,238
2,1,1,1,0,1,0,5,1,0,1,0,53,19,238,498,122,9,2,0,1,0,8,157,119,114,18
2,1,1,2,2,2,2,5,0,0,2,0,67,31,35,157,141,10,2,2,2,1,31,114,238,53,6
1,1,1,1,0,0,0,9,2,0,0,0,20,240,25,84,114,1,0,0,0,0,51,420,23,90,105
1,2,1,1,1,1,1,11,3,1,3,1,19,40,119,157,69,0,0,0,0,0,154,18,40,31,119
2,2,2,2,2,2,0,0,0,0,0,0,53,154,498,240,122,11,3,1,3,0,154,51,11,157,113
2,1,2,2,2,2,2,0,0,0,0,0,29,53,57,157,40,7,1,1,3,1,238,119,40,113,31
1,1,1,1,0,1,1,9,1,0,1,1,53,40,164,90,157,0,0,0,0,0,16,134,114,121,53
1,1,1,1,0,1,0,11,3,0,1,0,41,119,29,105,53,1,0,0,1,0,103,154,64,19,157
2,1,2,2,1,2,1,3,0,1,0,1,117,57,103,40,154,7,1,0,4,0,16,61,40,202,18
1,1,1,2,1,2,2,7,1,2,3,0,86,59,154,157,25,11,4,0,2,1,105,6,28,29,122
1,2,1,1,1,1,1,9,1,1,3,1,19,53,55,238,122,0,0,0,0,0,7,141,157,114,84
2,2,1,2,1,1,1,3,0,1,3,1,122,59,75,64,154,8,1,0,0,0,33,18,154,40,31
1,1,2,1,1,2,2,7,1,1,1,0,157,29,31,238,40,3,0,0,2,1,238,40,122,29,18
2,1,2,2,1,1,2,3,0,1,2,0,201,31,75,157,53,10,2,1,1,1,53,51,75,105,157
1,2,1,1,1,2,0,11,3,1,1,0,7,122,157,119,154,0,0,0,1,0,154,53,102,420,51
2,2,2,2,2,1,2,1,0,0,1,0,157,16,122,64,50,8,1,1,3,1,105,122,420,29,141
2,1,1,2,2,1,1,2,0,0,3,1,157,23,105,11,40,8,3,1,2,0,238,117,41,122,31
1,2,2,1,1,2,1,11,2,1,1,1,105,141,40,154,119,4,0,0,2,0,57,31,29,157,117
2,1,1,2,1,2,1,5,0,1,0,1,154,134,114,55,157,9,2,1,4,0,51,157,122,79,11
2,2,2,2,0,2,0,2,0,0,0,0,19,17,45,67,157,9,1,0,3,0,60,157,-1,84,122
2,2,2,2,2,2,2,1,0,0,0,0,90,31,122,238,84,9,2,1,3,1,113,11,40,119,17
2,1,2,0,0,2,0,1,0,0,0,0,6,53,157,31,103,3,0,0,1,0,516,412,141,103,5
2,1,2,0,0,2,0,1,0,0,0,0,498,122,8,11,134,5,0,0,2,0,114,154,91,105,23
1,2,1,1,0,2,1,8,1,0,1,1,122,19,154,114,59,3,0,0,1,0,11,412,114,51,80
2,2,2,2,1,2,2,5,0,1,0,0,154,117,55,122,19,10,5,1,5,1,122,-1,117,59,16
2,1,2,2,0,2,1,0,0,0,0,1,427,154,117,157,119,9,2,0,2,0,154,427,114,498,245
2,1,2,0,2,1,2,4,0,0,3,0,45,18,122,25,141,5,0,1,1,1,236,40,64,17,238
2,2,2,2,2,1,0,3,0,0,1,0,119,63,105,64,31,10,2,1,3,0,121,53,238,412,84
